marker,tag,a_1311,a_1592,a_2713,a_8006,a_18178
0,2,857,194,521,489,583
0,3,932,197,484,525,591
0,1,934,187,474,511,553
0,2,857,197,518,486,583
0,3,934,191,489,529,592
0,1,939,185,477,509,554
0,2,853,188,518,488,581
0,3,932,191,491,526,591
0,1,936,190,485,512,551
0,2,856,199,521,488,582
0,3,929,194,498,528,588
0,1,936,182,497,507,551
0,2,855,197,522,486,577
0,3,932,195,501,528,588
0,1,939,189,496,510,546
0,2,854,195,506,485,574
0,3,931,198,497,526,589
0,1,938,188,502,508,554
0,2,859,195,498,485,580
0,3,933,192,493,530,586
0,1,938,190,506,509,553
0,2,858,193,508,491,585
0,3,933,196,491,522,586
0,1,939,189,516,511,566
0,2,853,190,518,484,583
0,3,936,193,489,529,588
0,1,939,189,511,510,561
0,2,855,187,519,484,582
0,3,938,192,492,526,586
0,1,939,191,458,507,558
0,2,855,196,518,487,577
0,3,942,190,497,528,583
0,1,940,190,503,507,566
0,2,856,194,520,491,579
0,3,936,191,503,526,588
0,1,937,184,502,508,555
0,2,856,190,523,484,576
0,3,934,193,499,528,585
0,1,937,188,498,507,556
0,2,856,187,528,489,581
0,3,933,192,501,531,585
0,1,937,186,501,508,561
0,2,854,186,535,488,579
0,3,933,193,509,525,585
